Date,Open,High,Low,Close,Volume
2018-12-31,2498.93994140625,2509.239990234375,2482.820068359375,2506.85009765625,3442870000
2019-01-02,2476.9599609375,2519.489990234375,2467.469970703125,2510.030029296875,3733160000
2019-01-03,2491.919921875,2493.139892578125,2443.9599609375,2447.889892578125,3822860000
2019-01-04,2474.330078125,2538.070068359375,2474.330078125,2531.93994140625,4213410000
2019-01-07,2535.610107421875,2566.159912109375,2524.56005859375,2549.68994140625,4104710000
2019-01-08,2568.110107421875,2579.820068359375,2547.56005859375,2574.409912109375,4083030000
2019-01-09,2580.0,2595.320068359375,2568.889892578125,2584.9599609375,4052480000
2019-01-10,2573.510009765625,2597.820068359375,2562.02001953125,2596.639892578125,3704500000
2019-01-11,2588.110107421875,2596.27001953125,2577.39990234375,2596.260009765625,3434490000
2019-01-14,2580.31005859375,2589.320068359375,2570.409912109375,2582.610107421875,3664450000
2019-01-15,2585.10009765625,2613.080078125,2585.10009765625,2610.300048828125,3572330000
2019-01-16,2614.75,2625.760009765625,2612.679931640625,2616.10009765625,3863770000
2019-01-17,2609.280029296875,2645.06005859375,2606.360107421875,2635.9599609375,3772270000
2019-01-18,2651.27001953125,2675.469970703125,2647.580078125,2670.7099609375,3986730000
2019-01-22,2657.8798828125,2657.8798828125,2617.27001953125,2632.89990234375,3908030000
2019-01-23,2643.47998046875,2653.18994140625,2612.860107421875,2638.699951171875,3335610000
2019-01-24,2638.840087890625,2647.199951171875,2627.010009765625,2642.330078125,3433250000
2019-01-25,2657.43994140625,2672.3798828125,2657.330078125,2664.760009765625,3814080000
2019-01-28,2644.969970703125,2644.969970703125,2624.06005859375,2643.85009765625,3612810000
2019-01-29,2644.889892578125,2650.929931640625,2631.050048828125,2640.0,3504200000
2019-01-30,2653.6201171875,2690.43994140625,2648.340087890625,2681.050048828125,3867810000
2019-01-31,2685.489990234375,2708.949951171875,2678.64990234375,2704.10009765625,4917650000
2019-02-01,2702.320068359375,2716.659912109375,2696.8798828125,2706.530029296875,3759270000
2019-02-04,2706.489990234375,2724.989990234375,2698.75,2724.8701171875,3359840000
2019-02-05,2728.340087890625,2738.97998046875,2724.030029296875,2737.699951171875,3560430000
2019-02-06,2735.050048828125,2738.080078125,2724.14990234375,2731.610107421875,3472690000
2019-02-07,2717.530029296875,2719.320068359375,2687.260009765625,2706.050048828125,4099490000
2019-02-08,2692.360107421875,2708.070068359375,2681.830078125,2707.8798828125,3622330000
2019-02-11,2712.39990234375,2718.050048828125,2703.7900390625,2709.800048828125,3361970000
2019-02-12,2722.610107421875,2748.18994140625,2722.610107421875,2744.72998046875,3827770000
2019-02-13,2750.300048828125,2761.85009765625,2748.6298828125,2753.030029296875,3670770000
2019-02-14,2743.5,2757.89990234375,2731.22998046875,2745.72998046875,3836700000
2019-02-15,2760.239990234375,2775.659912109375,2760.239990234375,2775.60009765625,3641370000
2019-02-19,2769.280029296875,2787.330078125,2767.2900390625,2779.760009765625,3533710000
2019-02-20,2779.050048828125,2789.8798828125,2774.06005859375,2784.699951171875,3835450000
2019-02-21,2780.239990234375,2781.580078125,2764.550048828125,2774.8798828125,3559710000
2019-02-22,2780.669921875,2794.199951171875,2779.110107421875,2792.669921875,3427810000
2019-02-25,2804.35009765625,2813.489990234375,2794.989990234375,2796.110107421875,3804380000
2019-02-26,2792.360107421875,2803.1201171875,2789.469970703125,2793.89990234375,3645680000
2019-02-27,2787.5,2795.760009765625,2775.1298828125,2792.3798828125,3767130000
2019-02-28,2788.110107421875,2793.72998046875,2782.510009765625,2784.489990234375,4396930000
2019-03-01,2798.219970703125,2808.02001953125,2787.3798828125,2803.68994140625,3972280000
2019-03-04,2814.3701171875,2816.8798828125,2767.659912109375,2792.81005859375,3919810000
2019-03-05,2794.409912109375,2796.43994140625,2782.969970703125,2789.64990234375,3585690000
2019-03-06,2790.27001953125,2790.27001953125,2768.68994140625,2771.449951171875,3786600000
2019-03-07,2766.530029296875,2767.25,2739.090087890625,2748.929931640625,3904860000
2019-03-08,2730.7900390625,2744.1298828125,2722.27001953125,2743.070068359375,3423130000
2019-03-11,2747.610107421875,2784.0,2747.610107421875,2783.300048828125,3749030000
2019-03-12,2787.340087890625,2798.320068359375,2786.72998046875,2791.52001953125,3414230000
2019-03-13,2799.780029296875,2821.239990234375,2799.780029296875,2810.919921875,3766150000
2019-03-14,2810.3798828125,2815.0,2803.4599609375,2808.47998046875,3469730000
2019-03-15,2810.7900390625,2830.72998046875,2810.7900390625,2822.47998046875,5962730000
2019-03-18,2822.610107421875,2835.409912109375,2821.989990234375,2832.93994140625,3552190000
2019-03-19,2840.760009765625,2852.419921875,2823.27001953125,2832.570068359375,3620220000
2019-03-20,2831.340087890625,2843.5400390625,2812.429931640625,2824.22998046875,3771200000
2019-03-21,2819.719970703125,2860.31005859375,2817.3798828125,2854.8798828125,3546800000
